Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4680,23/03/2026,19,20,14,7,12,21,27,13,2,0,2000000.00,1000000.00,21,2,51951.90,2473.90,255,35,80401.50,315.30,11794,1784,228803.60,19.40,27818,4193,325470.60,11.70,55147,8489,551470.00,10.00
4679,20/03/2026,7,9,17,18,10,37,2,6,0,0,0.00,0.00,9,3,116614.80,12957.20,219,31,180477.90,824.10,10338,1665,513798.60,49.70,26594,4505,731335.00,27.50,58816,9251,1235136.00,21.00
4678,18/03/2026,26,38,10,43,11,31,21,18,1,1,1000000.00,1000000.00,17,1,143388.20,8434.60,192,17,221913.60,1155.80,10381,1344,631164.80,60.80,29650,3857,898395.00,30.30,63370,8575,1520880.00,24.00
4677,16/03/2026,19,16,11,3,43,34,37,23,2,1,2000000.00,1000000.00,14,1,129935.40,9281.10,260,52,201084.00,773.40,11647,1560,571867.70,49.10,27910,3934,814972.00,29.20,51228,7970,1378033.20,26.90
4676,13/03/2026,36,45,25,33,14,37,42,29,0,0,0.00,0.00,7,1,37917.25,5416.75,112,21,58682.40,523.95,5140,989,167050.00,32.50,12832,2367,237392.00,18.50,27800,5506,401710.00,14.45
4675,11/03/2026,27,25,31,42,36,4,10,24,1,0,1000000.00,1000000.00,12,4,50123.40,4176.95,146,33,77569.80,531.30,6951,1028,220694.25,31.75,18802,2746,313993.40,16.70,42288,6144,530714.40,12.55
4674,09/03/2026,19,1,9,16,25,23,10,14,1,0,1000000.00,1000000.00,14,2,47548.20,3396.30,215,33,73583.75,342.25,9718,1461,209422.90,21.55,23215,3571,298312.75,12.85,42196,6412,504242.20,11.95
4673,06/03/2026,30,9,22,32,1,44,25,7,0,0,0.00,0.00,5,1,37764.25,7552.85,95,19,58444.00,615.20,5463,1025,166348.35,30.45,14597,2683,236471.40,16.20,35068,6560,399775.20,11.40
4672,04/03/2026,4,43,40,13,16,45,15,7,1,0,1000000.00,1000000.00,7,1,52545.85,7506.55,135,19,81324.00,602.40,7360,1104,231472.00,31.45,18621,3022,328660.65,17.65,46468,7023,557616.00,12.00
4671,02/03/2026,36,8,15,27,6,33,22,9,2,0,2000000.00,1000000.00,11,1,49354.25,4486.75,148,19,76382.80,516.10,7656,1050,217430.40,28.40,23829,2966,308585.55,12.95,45557,6361,523905.50,11.50
